0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04
0.08	0.13	0.12	0.12	0.12	0.12	0.12	0.03
0.25	0.3	0.21	0.26	0.28	0.2	0.23	0.28
0.27	0.29	0.36	0.33	0.27	0.35	0.32	0.35
0.53	0.6	0.58	0.56	0.52	0.58	0.59	0.55
0.4	0.52	0.54	0.55	0.46	0.54	0.52	0.44
0.48	0.46	0.59	0.57	0.51	0.57	0.6	0.53
0.61	0.66	0.64	0.72	0.65	0.63	0.57	0.7
0.87	0.89	0.85	0.84	0.85	0.89	0.88	0.85
0.73	0.74	0.83	0.79	0.78	0.88	0.85	0.88
0.84	0.83	0.88	0.84	0.83	0.85	0.86	0.84
0.94	0.87	1	1	1	1	1	1
0.95	0.94	0.95	0.93	0.91	0.95	0.94	0.93
0.93	0.92	0.95	0.94	0.93	0.95	0.95	0.93
0.94	0.92	0.95	0.92	0.88	0.95	0.95	0.91
0.96	0.97	0.97	0.96	0.96	0.98	0.98	0.97
0.94	0.98	0.97	0.96	0.97	0.97	0.98	0.96
0.98	0.98	0.99	0.98	0.98	0.99	0.99	0.99
1	1	1	1	1	1	1	1
